video,segment,start,startframe,end,endframe
Molokini_Jul2022_0020,6,5000,149,6000,179
Molokini_Jul2022_0020,7,6000,179,7000,209
Molokini_Jul2022_0020,8,7000,209,8000,239
Molokini_Jul2022_0020,9,8000,239,9000,269
Molokini_Jul2022_0020,10,9000,269,10000,299
Molokini_Jul2022_0020,11,10000,299,11000,329
Molokini_Jul2022_0020,12,11000,329,12000,359
Molokini_Jul2022_0020,13,12000,359,13000,389
Molokini_Jul2022_0020,14,13000,389,14000,419
Molokini_Jul2022_0020,15,14000,419,15000,449
Molokini_Jul2022_0020,16,15000,449,16000,479
Molokini_Jul2022_0020,17,16000,479,17000,509
Molokini_Jul2022_0020,18,17000,509,18000,539
Molokini_Jul2022_0020,19,18000,539,19000,569
Molokini_Jul2022_0020,20,19000,569,20000,599
Molokini_Jul2022_0020,21,20000,599,21000,629
Molokini_Jul2022_0020,22,21000,629,22000,659
Molokini_Jul2022_0020,23,22000,659,23000,689
Molokini_Jul2022_0020,24,23000,689,24000,719
Molokini_Jul2022_0020,25,24000,719,25000,749
Molokini_Jul2022_0020,26,25000,749,26000,779
Molokini_Jul2022_0020,27,26000,779,27000,809
Molokini_Jul2022_0020,28,27000,809,28000,839
Molokini_Jul2022_0020,29,28000,839,29000,869
Molokini_Jul2022_0020,30,29000,869,30000,899
Molokini_Jul2022_0020,31,30000,899,31000,929
Molokini_Jul2022_0020,32,31000,929,32000,959
Molokini_Jul2022_0020,33,32000,959,33000,989
Molokini_Jul2022_0020,34,33000,989,34000,1018
Molokini_Jul2022_0020,35,34000,1018,35000,1048
Molokini_Jul2022_0020,36,35000,1048,36000,1078
Molokini_Jul2022_0020,37,36000,1078,37000,1108
Molokini_Jul2022_0020,38,37000,1108,38000,1138
Molokini_Jul2022_0020,39,38000,1138,39000,1168
Molokini_Jul2022_0020,40,39000,1168,40000,1198
Molokini_Jul2022_0020,41,40000,1198,41000,1228
Molokini_Jul2022_0020,42,41000,1228,42000,1258
Molokini_Jul2022_0020,43,42000,1258,43000,1288
Molokini_Jul2022_0020,44,43000,1288,44000,1318
Oahu2_Jul2022_0014,1,0,0,1000,29
Oahu2_Jul2022_0014,2,1000,29,2000,59
Oahu2_Jul2022_0014,3,2000,59,3000,89
Oahu2_Jul2022_0014,4,3000,89,4000,119
Oahu2_Jul2022_0014,5,4000,119,5000,149
Oahu2_Jul2022_0014,6,5000,149,6000,179
Oahu2_Jul2022_0014,7,6000,179,7000,209
Oahu2_Jul2022_0014,8,7000,209,8000,239
Oahu2_Jul2022_0014,9,8000,239,9000,269
Oahu2_Jul2022_0014,10,9000,269,10000,299
Oahu2_Jul2022_0014,11,10000,299,11000,329
Oahu2_Jul2022_0014,12,11000,329,12000,359
Oahu2_Jul2022_0014,13,12000,359,13000,389
Oahu2_Jul2022_0014,14,13000,389,14000,419
Oahu2_Jul2022_0014,15,14000,419,15000,449
Oahu2_Jul2022_0014,16,15000,449,16000,479
Oahu2_Jul2022_0014,17,16000,479,17000,509
Oahu2_Jul2022_0014,18,17000,509,18000,539
Oahu2_Jul2022_0014,19,18000,539,19000,569
Oahu2_Jul2022_0014,20,19000,569,20000,599
Oahu2_Jul2022_0014,21,20000,599,21000,629
Oahu2_Jul2022_0014,22,21000,629,22000,659
Oahu2_Jul2022_0014,23,22000,659,23000,689
Oahu2_Jul2022_0014,24,23000,689,24000,719
Oahu2_Jul2022_0014,25,24000,719,25000,749
Oahu2_Jul2022_0014,26,25000,749,26000,779
Oahu2_Jul2022_0014,27,26000,779,27000,809
Oahu2_Jul2022_0014,28,27000,809,28000,839
Oahu2_Jul2022_0014,29,28000,839,29000,869
Oahu2_Jul2022_0014,30,29000,869,30000,899
Oahu2_Jul2022_0014,31,30000,899,31000,929
Oahu2_Jul2022_0014,32,31000,929,32000,959
Oahu2_Jul2022_0014,33,32000,959,33000,989
Oahu2_Jul2022_0014,34,33000,989,34000,1018
Oahu2_Jul2022_0014,35,34000,1018,35000,1048
Oahu2_Jul2022_0014,36,35000,1048,36000,1078
Oahu2_Jul2022_0014,37,36000,1078,37000,1108
Oahu2_Jul2022_0014,38,37000,1108,38000,1138
Oahu2_Jul2022_0014,39,38000,1138,39000,1168
Oahu2_Jul2022_0014,40,39000,1168,40000,1198
Oahu2_Jul2022_0014,41,40000,1198,41000,1228
Oahu2_Jul2022_0014,42,41000,1228,42000,1258
Oahu2_Jul2022_0014,43,42000,1258,43000,1288
Oahu2_Jul2022_0014,44,43000,1288,44000,1318
Oahu2_Jul2022_0014,45,44000,1318,45000,1348
Oahu2_Jul2022_0014,46,45000,1348,46000,1378
Oahu2_Jul2022_0014,47,46000,1378,47000,1408
Oahu2_Jul2022_0014,48,47000,1408,48000,1438
Oahu2_Jul2022_0014,49,48000,1438,49000,1468
Oahu2_Jul2022_0014,50,49000,1468,50000,1498
Oahu2_Jul2022_0014,51,50000,1498,51000,1528
Oahu2_Jul2022_0014,52,51000,1528,52000,1558
Oahu2_Jul2022_0014,53,52000,1558,53000,1588
Oahu2_Jul2022_0014,54,53000,1588,54000,1618
Oahu2_Jul2022_0014,55,54000,1618,55000,1648
Oahu2_Jul2022_0014,56,55000,1648,56000,1678
Oahu2_Jul2022_0014,57,56000,1678,57000,1708
Oahu2_Jul2022_0014,58,57000,1708,58000,1738
Lanai_Jul2022_0067,1,0,0,1000,29
Lanai_Jul2022_0067,2,1000,29,2000,59
Lanai_Jul2022_0067,3,2000,59,3000,89
Lanai_Jul2022_0067,4,3000,89,4000,119
Lanai_Jul2022_0067,5,4000,119,5000,149
Lanai_Jul2022_0067,6,5000,149,6000,179
Lanai_Jul2022_0067,7,6000,179,7000,209
Lanai_Jul2022_0067,8,7000,209,8000,239
Lanai_Jul2022_0067,9,8000,239,9000,269
Lanai_Jul2022_0067,10,9000,269,10000,299
Lanai_Jul2022_0067,11,10000,299,11000,329
Lanai_Jul2022_0067,12,11000,329,12000,359
Lanai_Jul2022_0067,13,12000,359,13000,389
Lanai_Jul2022_0067,14,13000,389,14000,419
Lanai_Jul2022_0067,15,14000,419,15000,449
Lanai_Jul2022_0067,16,15000,449,16000,479
Lanai_Jul2022_0067,17,16000,479,17000,509
Lanai_Jul2022_0067,18,17000,509,18000,539
Lanai_Jul2022_0067,19,18000,539,19000,569
Lanai_Jul2022_0067,20,19000,569,20000,599
Lanai_Jul2022_0067,21,20000,599,21000,629
Lanai_Jul2022_0067,22,21000,629,22000,659
Lanai_Jul2022_0067,23,22000,659,23000,689
Lanai_Jul2022_0067,24,23000,689,24000,719
Lanai_Jul2022_0067,25,24000,719,25000,749
Lanai_Jul2022_0067,26,25000,749,26000,779
Lanai_Jul2022_0067,27,26000,779,27000,809
Lanai_Jul2022_0067,28,27000,809,28000,839
Lanai_Jul2022_0067,29,28000,839,29000,869
Lanai_Jul2022_0067,30,29000,869,30000,899
Lanai_Jul2022_0067,31,30000,899,31000,929
Lanai_Jul2022_0067,32,31000,929,32000,959
Lanai_Jul2022_0067,33,32000,959,33000,989
Lanai_Jul2022_0067,34,33000,989,34000,1018
Lanai_Jul2022_0067,35,34000,1018,35000,1048
Lanai_Jul2022_0067,36,35000,1048,36000,1078
Lanai_Jul2022_0067,37,36000,1078,37000,1108
Lanai_Jul2022_0067,38,37000,1108,38000,1138
Lanai_Jul2022_0067,39,38000,1138,39000,1168
Lanai_Jul2022_0067,40,39000,1168,40000,1198
Lanai_Jul2022_0067,41,40000,1198,41000,1228
Tulamben1_Jun2022_0089,1,0,0,1000,29
Tulamben1_Jun2022_0089,2,1000,29,2000,59
Tulamben1_Jun2022_0089,3,2000,59,3000,89
Tulamben1_Jun2022_0089,4,3000,89,4000,119
Tulamben1_Jun2022_0089,5,4000,119,5000,149
Tulamben1_Jun2022_0089,6,5000,149,6000,179
Tulamben1_Jun2022_0089,7,6000,179,7000,209
Tulamben1_Jun2022_0089,8,7000,209,8000,239
Tulamben1_Jun2022_0089,9,8000,239,9000,269
Tulamben1_Jun2022_0089,10,9000,269,10000,299
Tulamben1_Jun2022_0089,11,10000,299,11000,329
Tulamben1_Jun2022_0089,12,11000,329,12000,359
Tulamben1_Jun2022_0089,13,12000,359,13000,389
Tulamben1_Jun2022_0089,14,13000,389,14000,419
Tulamben1_Jun2022_0089,15,14000,419,15000,449
Tulamben1_Jun2022_0089,16,15000,449,16000,479
Tulamben1_Jun2022_0089,17,16000,479,17000,509
Tulamben1_Jun2022_0089,18,17000,509,18000,539
Tulamben1_Jun2022_0089,19,18000,539,19000,569
Tulamben1_Jun2022_0089,20,19000,569,20000,599
Tulamben1_Jun2022_0089,21,20000,599,21000,629
Tulamben1_Jun2022_0089,22,21000,629,22000,659
Tulamben1_Jun2022_0089,23,22000,659,23000,689
Tulamben1_Jun2022_0089,24,23000,689,24000,719
Tulamben1_Jun2022_0089,25,24000,719,25000,749
Tulamben1_Jun2022_0089,26,25000,749,26000,779
Tulamben1_Jun2022_0089,27,26000,779,27000,809
Tulamben1_Jun2022_0089,28,27000,809,28000,839
Tulamben1_Jun2022_0089,29,28000,839,29000,869
Tulamben1_Jun2022_0089,30,29000,869,30000,899
Tulamben1_Jun2022_0089,31,30000,899,31000,929
Tulamben1_Jun2022_0089,32,31000,929,32000,959
Tulamben1_Jun2022_0089,33,32000,959,33000,989
Tulamben1_Jun2022_0089,34,33000,989,34000,1018
Tulamben1_Jun2022_0089,35,34000,1018,35000,1048
Tulamben1_Jun2022_0089,36,35000,1048,36000,1078
Tulamben1_Jun2022_0089,37,36000,1078,37000,1108
Oahu_Jul2022_0033,1,0,0,1000,29
Oahu_Jul2022_0033,2,1000,29,2000,59
Oahu_Jul2022_0033,3,2000,59,3000,89
Oahu_Jul2022_0033,4,3000,89,4000,119
Oahu_Jul2022_0033,5,4000,119,5000,149
Oahu_Jul2022_0033,6,5000,149,6000,179
Oahu_Jul2022_0033,7,6000,179,7000,209
Oahu_Jul2022_0033,8,7000,209,8000,239
Oahu_Jul2022_0033,9,8000,239,9000,269
Oahu_Jul2022_0033,10,9000,269,10000,299
Oahu_Jul2022_0033,11,10000,299,11000,329
Oahu_Jul2022_0033,12,11000,329,12000,359
Oahu_Jul2022_0033,13,12000,359,13000,389
Oahu_Jul2022_0033,14,13000,389,14000,419
Oahu_Jul2022_0033,15,14000,419,15000,449
Oahu_Jul2022_0033,16,15000,449,16000,479
Oahu_Jul2022_0033,17,16000,479,17000,509
Oahu_Jul2022_0033,18,17000,509,18000,539
Oahu_Jul2022_0033,19,18000,539,19000,569
Oahu_Jul2022_0033,20,19000,569,20000,599
Oahu_Jul2022_0033,21,20000,599,21000,629
Oahu_Jul2022_0033,22,21000,629,22000,659
Oahu_Jul2022_0033,23,22000,659,23000,689
Oahu_Jul2022_0033,24,23000,689,24000,719
Oahu_Jul2022_0033,25,24000,719,25000,749
Oahu_Jul2022_0033,26,25000,749,26000,779
Oahu_Jul2022_0033,27,26000,779,27000,809
Oahu_Jul2022_0033,28,27000,809,28000,839
Oahu_Jul2022_0033,29,28000,839,29000,869
Oahu_Jul2022_0033,30,29000,869,30000,899
Oahu_Jul2022_0033,31,30000,899,31000,929
Oahu_Jul2022_0033,32,31000,929,32000,959
Oahu_Jul2022_0033,33,32000,959,33000,989
Oahu_Jul2022_0033,34,33000,989,34000,1018
Oahu_Jul2022_0033,35,34000,1018,35000,1048
Oahu_Jul2022_0033,36,35000,1048,36000,1078
Oahu_Jul2022_0033,37,36000,1078,37000,1108
Oahu_Jul2022_0033,38,37000,1108,38000,1138
Oahu_Jul2022_0033,39,38000,1138,39000,1168
Oahu_Jul2022_0033,40,39000,1168,40000,1198
Oahu_Jul2022_0033,41,40000,1198,41000,1228
Oahu_Jul2022_0033,42,41000,1228,42000,1258
Oahu_Jul2022_0033,43,42000,1258,43000,1288
Oahu_Jul2022_0033,44,43000,1288,44000,1318
Oahu_Jul2022_0033,45,44000,1318,45000,1348
Oahu_Jul2022_0033,46,45000,1348,46000,1378
Oahu_Jul2022_0033,47,46000,1378,47000,1408
Oahu_Jul2022_0033,48,47000,1408,48000,1438
Oahu_Jul2022_0033,49,48000,1438,49000,1468
Oahu_Jul2022_0033,50,49000,1468,50000,1498
Oahu_Jul2022_0033,51,50000,1498,51000,1528
Oahu_Jul2022_0033,52,51000,1528,52000,1558
Oahu_Jul2022_0033,53,52000,1558,53000,1588
Tulamben2_Jun2022_0008,1,0,0,1000,29
Tulamben2_Jun2022_0008,2,1000,29,2000,59
Tulamben2_Jun2022_0008,3,2000,59,3000,89
Tulamben2_Jun2022_0008,4,3000,89,4000,119
Tulamben2_Jun2022_0008,5,4000,119,5000,149
Tulamben2_Jun2022_0008,6,5000,149,6000,179
Tulamben2_Jun2022_0008,7,6000,179,7000,209
Tulamben2_Jun2022_0008,8,7000,209,8000,239
Tulamben2_Jun2022_0008,9,8000,239,9000,269
Tulamben2_Jun2022_0008,10,9000,269,10000,299
Tulamben2_Jun2022_0008,11,10000,299,11000,329
Tulamben2_Jun2022_0008,12,11000,329,12000,359
Tulamben2_Jun2022_0008,13,12000,359,13000,389
Tulamben2_Jun2022_0008,14,13000,389,14000,419
Tulamben2_Jun2022_0008,15,14000,419,15000,449
Tulamben2_Jun2022_0008,16,15000,449,16000,479
Tulamben2_Jun2022_0008,17,16000,479,16250,487
Keramas_Feb2020_0026,1,0,0,1000,30
Keramas_Feb2020_0026,2,1000,30,2000,60
Keramas_Feb2020_0026,3,2000,60,3000,90
Keramas_Feb2020_0026,4,3000,90,4000,120
Keramas_Feb2020_0026,5,4000,120,5000,150
Keramas_Feb2020_0026,6,5000,150,6000,180
Keramas_Feb2020_0026,7,6000,180,7000,210
Keramas_Feb2020_0026,8,7000,210,8000,240
Keramas_Feb2020_0026,9,8000,240,9000,270
Keramas_Feb2020_0026,10,9000,270,10000,300
Keramas_Feb2020_0026,11,10000,300,11000,330
Keramas_Feb2020_0026,12,11000,330,12000,360
Keramas_Feb2020_0026,13,12000,360,13000,390
Keramas_Feb2020_0026,14,13000,390,14000,420
Keramas_Feb2020_0026,15,14000,420,15000,450
Keramas_Feb2020_0026,16,15000,450,16000,480
Keramas_Feb2020_0026,17,16000,480,17000,510
Keramas_Feb2020_0026,18,17000,510,17860,535
Molokai_Jul2022_0045,1,0,0,1000,29
Molokai_Jul2022_0045,2,1000,29,2000,59
Molokai_Jul2022_0045,3,2000,59,3000,89
Molokai_Jul2022_0045,4,3000,89,4000,119
Molokai_Jul2022_0045,5,4000,119,5000,149
Molokai_Jul2022_0045,6,5000,149,6000,179
Molokai_Jul2022_0045,7,6000,179,7000,209
Molokai_Jul2022_0045,8,7000,209,8000,239
Molokai_Jul2022_0045,9,8000,239,9000,269
Molokai_Jul2022_0045,10,9000,269,10000,299
Molokai_Jul2022_0045,11,10000,299,11000,329
Molokai_Jul2022_0045,12,11000,329,12000,359
Molokai_Jul2022_0045,13,12000,359,12280,368
Oahu2_Jul2022_0044,1,0,0,1000,29
Oahu2_Jul2022_0044,2,1000,29,2000,59
Oahu2_Jul2022_0044,3,2000,59,3000,89
Oahu2_Jul2022_0044,4,3000,89,4000,119
Oahu2_Jul2022_0044,5,4000,119,5000,149
Oahu2_Jul2022_0044,6,5000,149,6000,179
Oahu2_Jul2022_0044,7,6000,179,7000,209
Oahu2_Jul2022_0044,8,7000,209,8000,239
Oahu2_Jul2022_0044,9,8000,239,9000,269
Oahu2_Jul2022_0044,10,9000,269,10000,299
Oahu2_Jul2022_0044,11,10000,299,11000,329
Oahu2_Jul2022_0044,12,11000,329,12000,359
Oahu2_Jul2022_0044,13,12000,359,13000,389
Oahu2_Jul2022_0044,14,13000,389,14000,419
Oahu2_Jul2022_0044,15,14000,419,15000,449
Oahu2_Jul2022_0044,16,15000,449,16000,479
Oahu2_Jul2022_0044,17,16000,479,17000,509
Oahu2_Jul2022_0044,18,17000,509,18000,539
Oahu2_Jul2022_0044,19,18000,539,19000,569
Oahu2_Jul2022_0044,20,19000,569,20000,599
Oahu2_Jul2022_0044,21,20000,599,21000,629
Oahu2_Jul2022_0044,22,21000,629,22000,659
Oahu2_Jul2022_0044,23,22000,659,23000,689
Oahu2_Jul2022_0044,24,23000,689,24000,719
